ts,open,high,low,close,vol
2025-03-25,87500.1,88548.9,86301.5,87408.1,2121.25582882
2025-03-26,87408.0,88282.8,85851.3,86901.0,1611.66722036
2025-03-27,86910.2,87751.5,85799.6,87228.3,1545.89231622
2025-03-28,87228.3,87508.8,83585.4,84418.3,2237.33229607
2025-03-29,84418.4,84617.0,81651.5,82647.7,1597.63001415
2025-03-30,82647.6,83532.0,81553.5,82379.7,1406.95780174
2025-03-31,82392.8,83920.0,81285.8,82544.8,2201.6551291
2025-04-01,82544.9,85558.3,82427.8,85152.1,1860.3855275988649
2025-04-02,85152.2,88500.0,82329.8,82513.4,3979.04974442
2025-04-03,82513.5,83927.4,81203.2,83194.0,2552.62840212
2025-04-04,83204.4,84720.6,81655.3,83887.5,2986.54344142
2025-04-05,83887.6,84262.0,82388.1,83522.6,853.93529108
2025-04-06,83529.6,83793.3,77152.0,78419.6,2763.40127916
2025-04-07,78447.9,81218.1,74505.1,79169.3,7408.52090788
2025-04-08,79163.1,80870.6,76235.9,76315.1,3404.27143896
2025-04-09,76324.2,83581.7,74625.2,82603.3,6934.69543567
2025-04-10,82603.4,82735.5,78471.7,79602.9,3299.30983389
2025-04-11,79602.8,84304.9,78954.4,83415.8,4347.4051626
2025-04-12,83415.8,85906.4,82800.0,85269.8,2105.14910127
2025-04-13,85269.8,86113.7,83041.1,83756.8,2886.75715577
2025-04-14,83762.1,85795.6,83670.2,84590.8,2947.1413536
2025-04-15,84590.9,86459.9,83602.3,83642.8,2672.20132165
2025-04-16,83642.8,85547.0,83111.2,84029.0,2498.14111981
2025-04-17,84029.0,85470.1,83729.4,84952.6,1558.80882939
2025-04-18,84952.6,85139.6,84311.0,84465.5,571.64003184
2025-04-19,84465.2,85670.6,84359.7,85079.3,760.29661717
2025-04-20,85079.3,85320.0,83950.5,85188.9,696.34214843
2025-04-21,85189.0,88469.0,85140.6,87518.5,2304.63585726
2025-04-22,87518.6,93982.2,87071.6,93443.6,2805.9745318
2025-04-23,93443.5,94713.4,91946.9,93690.3,2656.28952214
2025-04-24,93690.3,93999.0,91675.8,93976.8,1538.06852821
2025-04-25,93976.9,95790.0,92851.2,94638.2,1871.91029805
2025-04-26,94638.2,95190.6,93877.3,94623.8,765.48409786
2025-04-27,94624.1,95316.5,93608.7,93744.0,1014.33339572
2025-04-28,93743.9,95592.4,92800.1,95013.2,2789.46608486
2025-04-29,95013.3,95456.7,93736.7,94256.3,1771.49005232
2025-04-30,94256.2,95220.0,92911.9,94181.8,1527.88381032
2025-05-01,94177.4,97434.3,94136.9,96485.4,1687.84908257
2025-05-02,96485.5,97889.0,96348.2,96888.1,1176.98701772
2025-05-03,96888.2,96926.9,95752.0,95854.5,640.33257572
2025-05-04,95854.4,96306.4,94159.4,94280.5,807.74232395
2025-05-05,94280.6,95200.0,93513.1,94733.8,1368.00043824
2025-05-06,94733.7,96923.4,93377.8,96830.3,1520.43960425
2025-05-07,96838.1,97726.2,95771.5,97022.2,1600.33889484
2025-05-08,97022.3,104154.0,96882.9,103259.2,2948.44187477
2025-05-09,103259.2,104352.0,102326.0,102974.0,2742.70138093
2025-05-10,102973.9,104999.1,102814.7,104810.8,1746.19049303
2025-05-11,104810.7,104968.8,103339.2,104100.4,2002.04903061
2025-05-12,104107.1,105800.0,100739.3,102787.8,3540.52126805
2025-05-13,102787.7,104972.6,101440.1,104124.7,2362.16146783
2025-05-14,104112.3,104346.0,102605.2,103505.6,1577.14909163
2025-05-15,103505.7,104196.4,101384.9,103764.4,2096.94299092
2025-05-16,103764.5,104551.8,103109.7,103462.0,1242.05848023
2025-05-17,103462.1,103699.9,102602.1,103126.0,1128.6963312
2025-05-18,103126.0,106648.1,103097.5,106440.7,1690.37960455
2025-05-19,106442.9,107105.7,102072.3,105578.9,2620.5098910854745
2025-05-20,105578.9,107300.0,104177.7,106848.1,2158.42074796
2025-05-21,106848.2,110752.6,106084.0,109649.5,3795.92338983
2025-05-22,109641.0,111972.4,109193.7,111697.0,4487.84193815
2025-05-23,111697.1,111792.0,106799.8,107327.3,3461.40288433
2025-05-24,107327.2,109485.3,106877.3,107754.6,1552.02621543
2025-05-25,107754.6,109304.0,106599.1,109011.1,1979.97210487
2025-05-26,108999.1,110420.8,108666.7,109454.9,1640.90994761
2025-05-27,109435.3,110716.1,107500.0,108934.8,2267.86616932
2025-05-28,108934.8,109275.5,106800.0,107775.6,1568.46326314
2025-05-29,107775.7,108884.4,105320.3,105579.3,2496.56563571
2025-05-30,105588.8,106306.6,103620.1,103994.5,2712.37407936
2025-05-31,103994.3,104899.9,103080.0,104593.4,1268.63555477
2025-06-01,104593.4,105860.0,103762.4,105644.2,1024.37713541
2025-06-02,105644.3,105938.2,103670.3,105841.8,1735.22106503
2025-06-03,105861.7,106790.0,104873.7,105365.6,1530.07096043
2025-06-04,105376.0,105992.9,104179.7,104689.1,1430.85308941
2025-06-05,104689.2,105911.7,100386.6,101509.1,2753.79885314
2025-06-06,101509.2,105330.7,101082.2,104301.6,1716.95566706
2025-06-07,104301.7,105912.2,103876.0,105553.1,869.30425816
2025-06-08,105553.1,106491.7,104980.1,105735.7,754.79013359
2025-06-09,105735.7,110577.4,105335.6,110270.0,2360.18969704
2025-06-10,110270.0,110388.0,108335.9,110276.0,2027.30492525
2025-06-11,110276.1,110356.1,108039.8,108656.4,2102.43612805
2025-06-12,108644.6,108819.7,105669.0,105676.3,2716.17362499
2025-06-13,105669.0,106181.9,102656.1,106076.2,4527.14060839
2025-06-14,106070.1,106214.3,104300.6,105412.3,1333.6190934
2025-06-15,105412.4,106123.0,104458.6,105581.6,1158.33411312
2025-06-16,105581.7,108945.7,104970.6,106788.8,2101.60382288
2025-06-17,106788.7,107749.4,103369.1,104552.5,2617.91537905
2025-06-18,104552.6,105550.6,103496.2,104893.8,1870.99580405
2025-06-19,104893.8,105235.2,103921.4,104658.0,1308.33091993
2025-06-20,104655.5,106521.6,102302.0,103288.0,2245.13794924
2025-06-21,103290.0,103987.2,100883.8,102128.0,2251.20383103
2025-06-22,102128.2,103392.7,98178.5,100980.2,5081.07008521
2025-06-23,100967.8,106072.2,99627.1,105345.3,4071.21486525
2025-06-24,105332.4,106278.9,104629.6,106091.3,2524.87247179
2025-06-25,106091.3,108131.5,105811.4,107338.0,2194.55099701
2025-06-26,107338.0,108283.2,106550.1,106953.2,2056.43618161
2025-06-27,106963.6,107733.8,106382.6,107046.4,2098.07550457
2025-06-28,107046.4,107542.6,106819.6,107293.3,679.94971508
2025-06-29,107293.4,108503.6,107166.4,108357.5,1166.18567697
2025-06-30,108357.6,108778.3,106692.5,107145.6,1784.84249941
2025-07-01,107135.9,107535.1,105256.4,105686.5,1986.41365173
2025-07-02,105686.5,109727.7,105100.0,108833.8,3049.86615444
2025-07-03,108833.8,110510.0,108531.4,109593.2,2891.75877506
2025-07-04,109593.3,109766.7,107258.5,107984.7,2039.50848963
2025-07-05,107984.7,108410.0,107752.3,108200.4,797.90465451
